id,VendorName,NonProfitPrivate,WebsiteAddress,Description,Category,KeyProgramme,FrequencyProgrammes,DurationProgramme,EligibilityCriteria, Price ,Location,Address,Address2,PostalCode,OperatingHours,District,Email,ContactNo
431,Baking Industry Training Centre,Private,http://bitc.com.sg/,"At BITC, we are committed to providing the highest quality of training to the baking industry.

                                                                                                                                                                                                                                                                As a student, you can choose from our numerous hands-on skills and technique based courses and learn from our professional instructors, who are recognized experts in their areas of specialty. Plus, you will most certainly benefit from the latest baking technologies.

                                                                                                                                                                                                                                                                Whichever course you choose, you can be assured that you will have the industry’s best in the region.",Recreational and Leisure,Certified courses and workshops on Baking,"Certified courses depends on intakes, workshops on average monthly","Depends on courses, certified courses ranges from 20 hours to more;

Workshops ranges from 4 hours ",NA," >$1,000 ",Baking Industry Training Centre,201 Keppel Road,Level 11 Annexe Block,Singapore 099419,"Monday – Friday   8:30am – 5:30pm
Saturday   8:30am – 12:30pm
Closed on Sunday and Public Holidays",Central,bakingskills@bitc.com.sg,6276 6337
432,At-Sunrice GlobalChef Academy,Private,http://www.at-sunrice.com/,"At-Sunrice GlobalChef Academy is the first culinary academy in Singapore to be awarded the National CET Institute (NCI) accreditation by WDA. The academy’s rigorous study & work rotation contributes annually, more than one million man-hours to the local F&B industry, empowering students with opportunities to augment their classroom learning with hands-on apprenticeships at the workplace. The F&B industry receives invaluable benefits from our apprenticeship scheme to improve their business yield and be staffed with passionate culinary students. 

With students from over 34 countries, the learning environment at the academy is truly global. Graduates from At-Sunrice also live and work around the world in countries like the United states, United Kingdom, Australia and Singapore. The academy offers experiential culinary education enriched with knowledge of the east & west, herbs & spices and old world, new world cuisines. At-Sunrice offers open access pathways as well as degree articulation pathways with established universities for new entrants and working professionals. ",Recreational and Leisure,"Certified courses for Food & Beverage, Baking, Cooking, Drinks","Depends on courses, on average monthly intakes","Depends on courses, ranges from 1 day to more",No age limit," >$1,000 ",At-Sunrice GlobalChef Academy,28 Tai Seng Street Level 5,,Singapore 534106,"Mondays - Fridays:9.00am - 6.00pm
Saturdays:9.00am - 4.00pm
Sundays & Public Holidays:  Closed",South East,academy@at-sunrice.com,6416 6688 (General)
433,Hans Florist &Training Centre,Private,"http://hans.floristsingapore.com/
http://www.floristandtraining.com/index.asp","Established since 1987.

Full-time, Professional Florist Training Centre.

Coach by a experienced Professional Florist Principal.
Experience in conducting courses in followings:
1.  Community Centres
2.  Private and Country Clubs
3.  Government Authorities Staff Recreation Clubs
4.  Hospitals Staff Recreation Clubs
5.  Others Private Organization Recreation Clubs and Banks Staff Recreation Clubs
",Recreational and Leisure,"Courses on Flower Arrangement, Gift Wrapping, Flora Design etc",Depends on courses,"Depends on courses, may range from 4 hours","Registration fee $30.00 provide Scissors, photocopy handouts.
Appointment must be made one(1) day in advance.
"," >$1,000 ",Hans Florist &Training Centre,149 Rochor Road," #03-21
Fu Lu Shou Complex",Singapore 188425,Not Provided,Central,sandy@hans.floristsingapore.com,"6337 1771

9631 8518 (Hp)"
434,June Floral Art School,Private,http://www.junefloral.com/,"It has a training environment designed for individual coaching & classroom teaching.
It has also 3 other franchisees in other strategic locations. They are: -
 
    Imperial Flora Art Studio 23-6A Jalan Ampuan, 83000 Batu Pahat, Johore DT, Malaysia
 
    Tina Floral Art Academy 90 & 92 Jalan Perwira 1 Taman Ungku Aminah, 81300 Skudai Johore, Malaysia
 
    Florasia (Nan Fang) Floral Art School Shanghai, China

Our Vision...  
  
is to become a premier floral art school Asia that is known for producing graduates who are successful floral artists and floral art entrepreneurs.
 
  Our Mission...  
  
is to provide a comprehensive range of floral design and floral art courses that can meet the continuing training and development needs of professional floral designers, floral artists and floral entrepreneurs.
 ",Recreational and Leisure,"Courses on Floral Design, Floral Arrangement etc (Available in English and Mandarin)",Depends on course schedules,"Depends on courses, ranges from 2 days to 5 months",No maximum age. ," >$1,000 ",June Floral Art School,702A Geylang Rd,,Singapore 389618,Not Provided,South East,info@junefloral.com,6848 4500
435,Tropifame Floral Design School,Private,http://tropifame.net/index_files/Page395.htm,"SDF Approved Under Singapore Workforce Skills Qualification (WSQ) And Accredited By Singapore Workforce Development Agency (WDA) QUALIFICATIONS After attending at least 75% of the course and completing the assessment successfully, you will get a Statement of Attainment (SOA) from the Workforce Development Agency. The SOA is a nationally recognized qualification indicating the participant’s ability of competence in a particular area. To achieve the certificate of floral industry, candidate must complete the Gift, Corsage, Hamper, Bouquet and Arrangement modules.   ",Recreational and Leisure,"Courses on Floristry Operations, Management, Supervision and Skill Packs",Depends on courses ,"Depends on courses, may range from 16 hours to more",Depends on course requirements," >$1,000 ",Tropifame Floral Design School,No.1 Commonwealth Lane,08-01 / 02 One Commonwealth,Singapore 149544,Not Provided,Central,WSQ@tropifame.net,6338 8182
436,Yamano Florist & Ikebana School,Private,http://www.yamanoflorist.com.sg/courses,Yamano offers comprehensive and extensive floral design courses in floristry that cater to individuals’ needs. Our courses are uniquely structured and designed in accordance to the industry needs and requirement.,Recreational and Leisure,"Courses on Floral Design - Ikebana, Flower Arrangement, Floristry (Professional)",Depends on courses and individual schedules,"Depends on courses, counts by lessons (Average 3 months)",Ikebana Course (Japan Flower Arrangement)-need to register," >$1,000 ",Yamano Florist & Ikebana School,400 Balestier Road, #02-11 Balestier Plaza,Singapore 329802,"Mon – Fri:        [10am- 6pm]

Sat:                  [10am- 12pm]

Sun & Public Holiday:  Closed

 ",Central,enquiry@yamanoflorist.com.sg ,62501833
437,Paely Beauty & Flower School,Private,www.paely.blogspot.com,Unable to find descriptions,Learning and Enrichment,"Courses on Flower Arrangement, Gift Wrapping, Bridal Flower Arrangement etc

(Please enquire from organisation)",Depends on schedules,Depends on courses,No maximum age," >$1,000 ",Paely Beauty & Flower School,635 Ang Mo Kio Avenue 6 , #01-5113,Singapore 560635,Not Provided,Central,paelybeauty@gmail.com,64595850
438,Music Lifestyle Enrichment Centre,Private,www.mymusiclifestyle.com,"Music Lifestyle Enrichment Centre is the brainchild of Kellyn Quek, a qualified teacher of piano and music theory for some 20 years. Among her alma maters are KingstonUniversity in London, from which she graduated with BA(HONS)MUS , as well as LaSalle College of the Arts, where she graduated with Diploma in Music.

As a teacher, Kellyn believes in making music lessons both accessible and enjoyable for her students. Therefore, at Music Lifestyle, one can expect a structured, well-organised curriculum that has been carefully crafted with the goal of providing a holistic musical education in mind, as well as being tailor-made to meet the diverse requirements of all students.",Recreational and Leisure,"Courses on Piano, Violin, Guitar/Ukelele, Drums and Theory",Depends on schedules,"Depends on courses, ranges from 2 years or established at own pace",NA, NA ,Music Lifestyle Enrichment Centre,No.6 Eu Tong Sen Street,"#03-30 
The Central",Singapore 059817,Not Provided,Central,admin@mymusiclifestyle.com,6221 5221
439,TyMusic Academy,Private,http://www.tymusiccenter.com/,"The academy provides 2 main types of guitar courses. The leisure course is a short term programme with no exams. Students engage in rhythm and sing and songs learning. The graded exam course is primarily a mentoring course to prepare the student for ABRSM exams, generally catered for student age 5-14.",Recreational and Leisure,"Courses on Guitar, Ukelele & Theory",Depends on courses,Depends on courses; ranges from 6 months to more,NA, <$250 ,TyMusic Academy,5 Coleman Street,#B1-32/32A Excelsior Shopping Centre ,Singapore 179805,"Mon-Fri 1230pm-8pm
Sat 1230pm-7pm
Sun 1230pm-6pm ",Central,info@tymusiccenter.com ,68831550
440,TyMusic Academy,Private,http://www.tymusiccenter.com/,"The academy provides 2 main types of guitar courses. The leisure course is a short term programme with no exams. Students engage in rhythm and sing and songs learning. The graded exam course is primarily a mentoring course to prepare the student for ABRSM exams, generally catered for student age 5-14.",Recreational and Leisure,"Courses on Guitar, Ukelele & Theory",Depends on courses,Depends on courses; ranges from 6 months to more,NA, <$250 ,TyMusic Academy,"TyMusicCenter @ Sophia 
 Peace Centre
1 Sophia Road 
 ", #02-05,Singapore 228149,"Mon-Fri 1230pm-8pm
Sat 1230pm-7pm
Sun Close",Central,Email: info@tymusiccenter.com, Tel: 6336 4831
441,Country Line Dance Association Singapore,Private,http://cldas.com/,"Country Line Dance Association (Singapore), affectionately known as CLDAS by its members, was officially given the approval by Registry Of Societies in Aug 2000. Line dancing was starting to become popular in the late 1990?s and the Association was formed with an objective to promote and popularize line dancing in Singapore.

Towards this end, the Association had mooted the idea of the World Largest Line Dance in 2001 which was later realized by NTUC Income in 2002. It then worked with Singapore Sports Council to provide course materials for its line dance classes during 2003-2005. The Association has also initiated and completed a 3-year Dancing For Health project, supported by C3A, over the period of 2008-2010 with the aim to introduce line dancing as a low impact activity to the seniors for a healthy lifestyle.

As part of the efforts to promote line dancing in Singapore, the Association has also invited international line dance choreographers and instructors, including Bill Bader, John Robinson, Masters In Line, Neil Hale and Jo Thompson, since 2000 to conduct workshops and activities. A popular line dance music artist, Scooter Lee, was brought in for a concert in 2003 too. In the year 2010, the Association brought in another popular artist, Dave Sheriff, to celebrate its 10th anniversary.

In its short existence of 11 years or so, the Association has worked with numerous public and private organizations to conduct line dance activities, including workshops, jams and performances. ",Recreational and Leisure,Line dancing,"Depends on schedules, ranges from weekly to monthly","Depends on courses, ranges from 2.5 hours to more",based on ticket purchase, <$100 ,Country Line Dance Association Singapore,"
(Mailing address)
P.O. Box 72
Ghim Moh Estate Post Office
",,Singapore 912733,Not Provided,Central,yeokokpang@cldas.com,9090 6876
442,SgArtClass,Private,http://sgartclass.com/,"Singapore's leading online art class portal, offering more than 200 courses for the choosing. Browse a consolidated listing of classes administered by artists and teachers who have partnered with SgArtClass. We offer the opportunity for customers to customise their art objectives and course experience while giving teachers the opportunity to pair up with aspiring students.",Recreational and Leisure,"Information about courses on Arts & Crafts, Painting, Drawing, Gift Wrapping etc","Depends on courses and schedules
(Please enquire)","Depends on courses, total duration ranges from 4 hours or more",NA," <$1,000 ",SgArtClass,NA,,NA,"Monday to Thursday, 830am - 430pm (excluding public holidays)",NA,admin@sgartclass.com,Not Provided
443,CreativeWorkz,Private,http://www.fareastflora.com/creativeworkz/difference.html,CreativeWorkz short term floral courses equipped you with floristry skills from the fundamentals to advance progressive learning.,Recreational and Leisure,"Courses on Floral Arrangement, Design Techniques etc","Depends on courses and schedules
(Please enquire)","Depends on courses, ranges from 2 hours to more",No maxumum age.," >$1,000 ",CreativeWorkz,565 Thomson Road ,Located within Goodwood Florist,Singapore 298184 ,Not Provided,Central,CreativeWorkz@FarEastFlora.com,6259 8315
444,De Floral School,Private,http://defloralgallery.blogspot.com/,The art of flower arrangement.,Recreational and Leisure,"Courses on Floral Arrangement - Tabletop, Bouquet, Wedding etc","Depends on courses and schedules
(Please enquire)","Depends on courses, ranges from 26 hours to more",No maximum age," >$1,000 ",De Floral School,8 Mar Thoma Road,#11-03 ,Singapore 328689,Not Provided,Central,pauline@defloralgallery.com,6536 7857
445,Trust Tuition,Private,http://www.trusttutor.com/,"Trusttutor.com is dedicated to provide an enriching learning experience for our students by offering dedicated and experienced tutors with relevant educational qualifications. We methodically screen our tutors to ensure their credibility and commitment, and also train them with the latest know how and educational resources for effective teaching.

Established since 1993, we have proven track records that testify the effectiveness and success of our tuition placement and recruitment program that satisfy the needs of both tutors and students.",Recreational and Leisure,"Courses on Guitar, Languages - Mandarin, Japanese","Depends on schedules
(Please enquire)","Depends on courses, ranges from 8 hours to more",No age limit, <$250 ,Trust Tuition,21 Bukit Batok Crescent ,"#15-70, Wcega Tower",Singapore 658065 ,"Monday to Friday, 10.00am - 06.00pm ",South West,enquiry@trusttutor.com,67349101 (HQ)
446,Raffles International Florist Academy,Private,http://www.rifa.com.sg/index.html,The school provides a holistic approach to your florist studies. We provide a comprehensive syllabus for you when you are enrolled. The purpose is to prepare you with the required knowledge to enter the floristry industry. We can assist you to setup the logistics to enter the industry. RIFA provides good mentorship for you to enter floristry,Recreational and Leisure,"Courses on Floral Design,Flower Arrangement, Floral Art etc","Depends on courses
(Please enquire)","Depends on courses, ranges from 2 hours per lessons to more",NA, NA ,Raffles International Florist Academy,2 Serangoon Rd,#05-01 The Verge,Singapore 218227,"Monday to Friday :  11am to 7pm
Saturday: 11am to 2pm
Sunday & Public Holiday: Closed",North East,info@rifa.com.sg,62940123
447,The Gift Cottage,Private,http://www.streetdirectory.com/businessfinder/company_detail.php?companyid=50497&branchid=57394,"The Gift Cottage has been an e-business gift portal since 1999 and it started with a strong focus on a wide selection of Pan-Asian gift items and gift-related online services. Most customers came from USA, Canada, Australia, and South East Asia.

In 2007, it was appointed the Singapore distributor for Warratina Lavender products from Australia. Since then it focuses on distribution and retailing of Warratina Lavender range of products, Canela Figurines, Singapore souvenirs, customisable corporate gifts and hobby craft courses. 

The Gift Cottage provides our overseas and local customers with unique gift items that highlights rich Asian culture diversification that brings high quality and taste to their recipients of such gifts. Making our customers' shopping experience an enjoyable one at our cyber-shop. ",Recreational and Leisure,"Courses on Crafts and Floral Arrangement.
Please call for enquiry.
",Depends on courses schedules,"Depends on courses, ranges from 6 hours to more",NA, <$250 ,The Gift Cottage,76A Lorong 27 Geylang ,,Singapore 388194,Not Provided,South East,Not Provided,6243 1286
448,ARK Music School,Private,http://www.theark.com.sg/,"ARK Music is a spin off ARK Café, it promises students their next destination to be equipped and learn music in the fun and innovative express ""On Stage"" experience and thus having the opportunity for outstanding students to perform at ARK Music Café. They can also participate in various outdoor performances, which will help them to gain recognition, build their confidence and be talent scouted. 

ARK Music believes in promoting local music talents to the international music scene. Students will be assured that full attention will be given as classes are limited to a small group. Our music instructors are qualified in their own areas of specialization.

Seminars/workshops will be held regularly for students, inviting artistes/singers to share their experiences and have a Q & A session with our students too. Classes are available in Guitar, Synthesizer, Strum & Sing, Composing and Vocal.",Recreational and Leisure,"Courses on Vocals, Guitar and Keyboard",Depends on course individual schedules,"Depends on courses, ranges from 4 months",NA, Not Provided ,ARK Music School,29 Carpenter Street,"#03-03
SAFRA Town Club",Singapore 059923,Not Provided,Central,ark_musicschool@yahoo.com.sg / thearkclub@gmail.com,"8223 8228

6337 8226"
449,Georgie Hair Academy,Private,www.georgie.sg,"Established in Sept 2006, Georgie Hair Academy offers education services that focus on preparing our students towards lifelong learning and we look forward to having you as a part of our family. 
Our Mission Statement is:
To educate our students with practical skills and positive attitude, enabling them to contribute to the  hair styling industry.
We are committed to provide professional, quality and responsive service to our students in order to achieve and maintain standards of excellence. We have implemented the Student Protection Scheme (SPS) and ensure we have contractual agreement with all our students. The student contract lays out the important terms and conditions governing the relationship between the student and Georgie Hair Academy. We will honour all terms and conditions spelled out in the student contract and in all communication materials. With total dedication to full customer satisfaction, our students will get maximum value for their time at Georgie Hair Academy.
We are able to accept a total capacity of 30 students. Our Student-teacher ratio is 10 : 1. We have 1 classroom (capacity of 10 students per class) supported by 3 full time trainers. We warmly welcome you to be a part of our success!",Learning and Enrichment,Express Hairdressing Course,Monday to Friday (Daily),4 weeks (48 hours),"need to register, No maximum age"," >$1,000 ",Georgie Hair Academy,"Block 712A 
Ang Mo Kio Ave 6",#02-4058 ,Singapore 561712,"Monday to Friday 10 am to 9 pm
Saturday, Sunday & Public Holidays Closed",Central, school@georgie.sg,6456 0100
450,Palin School of Arts & Design,Private,http://www.palin.edu.sg/palin/index.shtml,"Palin School of Arts & Design was established in 1978 under the Education Act of Singapore. It has more than 28 years of teaching experience in the field of innovative design and visual arts. 
The school offers a pool of experience lecturers / instructors from each relevant trade of visual arts & design. It provides necessary facilities from learning aid such as computers and multimedia equipment.",Learning and Enrichment,"Courses in Computer Graphic, Interior Design, Webpage Design, Fashion Design",Depends on courses - please enquire on schedules,"Depends on courses, ranges from 24 hours to more",Depends on course requirements," >$1,000 ",Palin School of Arts & Design,231 Bain St,"#04-03, Bras Basah Complex",Singapore 180231  ,Not Provided,Central,info@palin.edu.sg,6338 4773
451,Serenade Floral & Trading,Private,www.serenadefloristsin.com,"Serenade Florist & Trading was founded on March 17th 2003 by Susan Wong (Business Owner & Floral Trainer) who strongly believes in turning passions into business entrepreneurship.


Serenade Florist & Trading owes its name to its business address ""Serenade Walk"" - a name which translates the serene beauty of floral and fauna into one's mind.


Using her home and garden as a 'SHOWCASE' she hope to inspire people from all walks of life to first cultivate floral art as a hobby and thereafter turning their passions into business entrepreneurship.

Serenade Florist & Trading is established to provide you with the training in Floral Art & Design and to help you realise your dreams!",Recreational and Leisure,Courses on Floral Arrangements,Depends on schedules,"Depends on courses, ranges from 2 lessons to more",No maxumium age," >$1,000 ",Serenade Floral & Trading,32 Serenade Walk ,, Singapore 575781,Not Provided,Central,Not Provided,6457 5712
452,Baobab Photo,Private,http://baobabphoto.com/school/,"At Baobab Photo we offer an excellent, international standard of digital photography classes, field trips and tours for all levels from complete beginners to advanced photographers and hobbyists. Photography Classes are limited to 10 participants so you get the individual attention you need.  Join us on weekdays or weekends! - See more at: http://baobabphoto.com/school/#sthash.O0wglfu2.dpuf",Recreational and Leisure,"Courses on photography, outdoor Photo Walks",Depends on course schedules (Please enquire),"Depends on courses, ranges from 1.5 hours to more",No maxumium age, <$750 ,Baobab Photo,"201 Kew Crescent (Postal address)

32A South Bridge Road (Studio)",,"Singapore, 466124 (Postal address)",Not Provided,South East,karen@baobabphoto.com,6402 3802
453,Pictorial,Private,http://www.pictorial.com.sg/,"Business Reg No. 53132534B
Providing reliable & professional photography services for various government and private sectors local and overseas since 1990s. Pictorial was established in 2007 with the intention of introducing the ""Pictorial Way Of Photography"" , gained through rich experiences from various local & overseas photography assignments conducted. See some of our completed works.

Since then Pictorial have been actively promoting photography to consumers and corporate industries. Through these years, Pictorial has won the hearts of many budding photographers and camera makers with its professionalism in training and photography services.

With Pictorial's effective customized training formula, affordable pricing of courses and workshops, range of exciting courses and our close to heart level of engagements with participants, Pictorial opens up a new level of photography learning, leading participants in to a genuine path to the world of photography.

Since than, more then 8000 participants from local and overseas had joined Pictorial series of photography courses and workshops in Singapore, and have been part of Pictorial family since then.

Given our proud track record and passion in photography, Pictorial has won the confidence",Recreational and Leisure,Photography Courses & Workshops,Depends on course schedules (Please enquire),"Depends on courses, ranges from 9 hours to more","NA
"," >$1,000 ",Pictorial,20 Maxwell Road,Maxwell House,Singapore 069113,"Monday to Friday: 9am-6pm

(Please Make An Appointment 
with Pictorial Before Visiting as
our Photographers are mostly 
outdoor)",Central,enquiry@pictorial.com.sg,"8488 7773 ?
?(Not Available Every Friday (7pm) to Every Saturday (7.30pm)"
454,The Photography Institute - Singapore,Private,http://www.thephotographyinstitute.sg/,"Become a Professional Photographer or Start an Exciting New Hobby! 

The ""Professional Photography Course"" is provided online. You study at home, in your own time and at your own pace. 

Cutting edge online diploma course in photography.
Contributions from leading photographers.
24 Hour student support.
Exclusive Facebook group with over 10,000 students worldwide.
Student discounts on all Adobe products.
Flexible payment options.
7 Day money back guarantee.",Recreational and Leisure,Online course on Photography,Depends,"The Course is designed to be self-paced. Whilst it is recommended that students submit work on a regular basis, you actually have up to 12 months to complete the program.",NA,">$1,000",The Photography Institute - Singapore,1 Raffles Place,Level 24,Singapore 048616,Not Provided,Central,info@thephotographyinstitute.sg,Not Provided
455,Phocus,Private,http://phocus.com.sg/,"Phocus Academy was founded by Nanda and Junjie in 2009 as a school for people interested to learn photography.

Having served as committee members at the Photovideographic Society at Nanyang Technological University from 2006-09, Nanda and Junjie have actively promoted photography and shared their knowledge with students by organising workshops, outings and exhibitions.",Recreational and Leisure,Photography Courses & Workshops,Depends on course schedules (Please enquire),"Depends on courses, ranges from 1 day to more",Participants must bring their own camera (DSLR or compact with manual exposure modes). Basic knowledge of photography is assumed (eg. students who have completed Practical Photography workshop or equivalent).,"<$1,000",Phocus,"111, North Bridge Road, 
","#05–32, Peninsula Plaza",Singapore 179098,Monday to Friday: 9am to 5pm,Central,academy@phocus.com.sg,9765 4224
